document_name,page_number,detection_type
F1964081.json,5,Deux Colonnes
F1964082.json,7,Deux Colonnes
F1964085.json,11,Deux Colonnes
F1964088.json,21,Deux Colonnes
F1964090.json,1,Deux Colonnes
F1964093.json,3,Deux Colonnes
F1964094.json,6,Deux Colonnes
F1964097.json,3,Deux Colonnes
F1964100.json,6,Deux Colonnes
F1964102.json,2,Deux Colonnes
F1964105.json,5,Deux Colonnes
F1965004.json,3,Deux Colonnes
F1965012.json,5,Deux Colonnes
F1965013.json,2,Deux Colonnes
F1965014.json,4,Deux Colonnes
F1965014.json,13,Deux Colonnes
F1965014.json,14,Deux Colonnes
F1965017.json,8,Deux Colonnes
F1965020.json,7,Deux Colonnes
F1965027.json,4,Deux Colonnes
F1965030.json,2,Deux Colonnes
F1965033.json,41,Deux Colonnes
F1965036.json,25,Deux Colonnes
F1965036.json,28,Deux Colonnes
F1965038.json,2,Deux Colonnes
F1965038.json,3,Deux Colonnes
F1965040.json,2,Deux Colonnes
F1965040.json,3,Deux Colonnes
F1965046.json,5,Deux Colonnes
F1965048.json,4,Deux Colonnes
F1965048.json,7,Deux Colonnes
F1965048.json,13,Ligne Horizontale (3+ layouts)
F1965048.json,14,Ligne Horizontale (3+ layouts)
F1965050.json,2,Deux Colonnes
F1965051.json,5,Deux Colonnes
F1965052.json,1,Deux Colonnes
F1965053.json,3,Deux Colonnes
F1965054.json,3,Deux Colonnes
F1965060.json,1,Ligne Horizontale (3+ layouts)
F1965061.json,7,Ligne Horizontale (3+ layouts)
F1965061.json,8,Deux Colonnes
F1965063.json,4,Deux Colonnes
F1965064.json,5,Deux Colonnes
F1965066.json,5,Deux Colonnes
F1965071.json,7,Ligne Horizontale (3+ layouts)
F1965073.json,5,Ligne Horizontale (3+ layouts)
F1965073.json,11,Deux Colonnes
F1965074.json,3,Deux Colonnes
F1965077.json,2,Deux Colonnes
F1965081.json,2,Deux Colonnes
F1965093.json,5,Deux Colonnes
F1965098.json,33,Deux Colonnes
F1965100.json,5,Layouts Imbriqués
F1965100.json,21,Layouts Imbriqués
F1965100.json,23,Ligne Horizontale (3+ layouts)
F1965100.json,25,Ligne Horizontale (3+ layouts)
F1965100.json,35,Ligne Horizontale (3+ layouts)
F1965100.json,36,Ligne Horizontale (3+ layouts)
F1965100.json,37,Layouts Imbriqués
F1965100.json,50,Layouts Imbriqués
F1965100.json,60,Layouts Imbriqués
F1965100.json,61,Ligne Horizontale (3+ layouts)
F1965100.json,63,Deux Colonnes
F1965100.json,67,Ligne Horizontale (3+ layouts)
F1965100.json,68,Ligne Horizontale (3+ layouts)
F1965100.json,69,Ligne Horizontale (3+ layouts)
F1965100.json,70,Ligne Horizontale (3+ layouts)
F1965100.json,71,Ligne Horizontale (3+ layouts)
F1965100.json,72,Ligne Horizontale (3+ layouts)
F1965100.json,73,Ligne Horizontale (3+ layouts)
F1965100.json,74,Ligne Horizontale (3+ layouts)
F1965100.json,76,Ligne Horizontale (3+ layouts)
F1965101.json,11,Deux Colonnes
F1965103.json,2,Deux Colonnes
F1965104.json,7,Deux Colonnes
F1965104.json,10,Deux Colonnes
F1965104.json,11,Deux Colonnes
F1965107.json,4,Deux Colonnes
F1966011.json,6,Ligne Horizontale (3+ layouts)
F1966013.json,1,Deux Colonnes
F1966013.json,3,Deux Colonnes
F1966014.json,2,Deux Colonnes
F1966014.json,3,Deux Colonnes
F1966014.json,5,Deux Colonnes
F1966018.json,4,Deux Colonnes
F1966019.json,8,Ligne Horizontale (3+ layouts)
F1966021.json,5,Deux Colonnes
F1966022.json,2,Deux Colonnes
F1966025.json,3,Ligne Horizontale (3+ layouts)
F1966025.json,6,Ligne Horizontale (3+ layouts)
F1966027.json,3,Deux Colonnes
F1966028.json,6,Deux Colonnes
F1966029.json,6,Ligne Horizontale (3+ layouts)
F1966030.json,5,Deux Colonnes
F1966031.json,7,Deux Colonnes
F1966038.json,4,Deux Colonnes
F1966040.json,5,Deux Colonnes
F1966046.json,12,Deux Colonnes
F1966050.json,13,Deux Colonnes
F1966050.json,14,Deux Colonnes
F1966051.json,16,Deux Colonnes
F1966051.json,17,Deux Colonnes
F1966053.json,6,Ligne Horizontale (3+ layouts)
F1966054.json,4,Deux Colonnes
F1966056.json,7,Ligne Horizontale (3+ layouts)
F1966059.json,4,Ligne Horizontale (3+ layouts)
F1966059.json,6,Deux Colonnes
F1966059.json,12,Deux Colonnes
F1966062.json,4,Deux Colonnes
F1966063.json,2,Deux Colonnes
F1966068.json,3,Deux Colonnes
F1966068.json,5,Deux Colonnes
F1966069.json,3,Deux Colonnes
F1966069.json,6,Ligne Horizontale (3+ layouts)
F1966071.json,4,Deux Colonnes
F1966072.json,12,Ligne Horizontale (3+ layouts)
F1966073.json,7,Ligne Horizontale (3+ layouts)
F1966076.json,6,Deux Colonnes
F1966077.json,12,Ligne Horizontale (3+ layouts)
F1966078.json,2,Deux Colonnes
F1966090.json,7,Ligne Horizontale (3+ layouts)
F1966090.json,11,Ligne Horizontale (3+ layouts)
F1966090.json,14,Ligne Horizontale (3+ layouts)
F1966090.json,15,Ligne Horizontale (3+ layouts)
F1966092.json,7,Deux Colonnes
F1966092.json,15,Ligne Horizontale (3+ layouts)
F1966093.json,10,Deux Colonnes
F1966095.json,6,Deux Colonnes
F1966099.json,22,Deux Colonnes
F1966102.json,10,Deux Colonnes
F1966105.json,6,Deux Colonnes
F1966106.json,9,Deux Colonnes
F1966106.json,10,Ligne Horizontale (3+ layouts)
F1966107.json,2,Deux Colonnes
F1966108.json,6,Deux Colonnes
F1967002.json,5,Deux Colonnes
F1967004.json,2,Ligne Horizontale (3+ layouts)
F1967004.json,3,Ligne Horizontale (3+ layouts)
F1967007.json,6,Deux Colonnes
F1967014.json,5,Ligne Horizontale (3+ layouts)
F1967035.json,3,Deux Colonnes
F1967038.json,9,Deux Colonnes
F1967044.json,2,Ligne Horizontale (3+ layouts)
F1967044.json,3,Deux Colonnes
F1967045.json,5,Deux Colonnes
F1967045.json,6,Ligne Horizontale (3+ layouts)
F1967050.json,4,Ligne Horizontale (3+ layouts)
F1967050.json,5,Ligne Horizontale (3+ layouts)
F1967050.json,8,Ligne Horizontale (3+ layouts)
F1967052.json,7,Ligne Horizontale (3+ layouts)
F1967053.json,5,Deux Colonnes
F1967053.json,6,Deux Colonnes
F1967054.json,5,Deux Colonnes
F1967054.json,7,Deux Colonnes
F1967061.json,3,Ligne Horizontale (3+ layouts)
F1967068.json,2,Ligne Horizontale (3+ layouts)
F1967071.json,2,Deux Colonnes
F1967078.json,1,Deux Colonnes
F1967079.json,3,Deux Colonnes
F1967080.json,2,Ligne Horizontale (3+ layouts)
F1967081.json,7,Deux Colonnes
F1967087.json,15,Deux Colonnes
F1967092.json,2,Ligne Horizontale (3+ layouts)
F1967098.json,11,Deux Colonnes
F1967098.json,13,Deux Colonnes
F1967101.json,2,Ligne Horizontale (3+ layouts)
F1967102.json,2,Ligne Horizontale (3+ layouts)
F1967105.json,6,Deux Colonnes
F1967106.json,3,Deux Colonnes
F1967106.json,4,Ligne Horizontale (3+ layouts)
F1967106.json,5,Deux Colonnes
F1968007.json,16,Deux Colonnes
F1968008.json,14,Deux Colonnes
F1968008.json,21,Deux Colonnes
F1968011.json,6,Deux Colonnes
F1968015.json,5,Ligne Horizontale (3+ layouts)
F1968019.json,2,Deux Colonnes
F1968025.json,4,Ligne Horizontale (3+ layouts)
F1968027.json,5,Deux Colonnes
F1968029.json,4,Deux Colonnes
F1968032.json,23,Ligne Horizontale (3+ layouts)
F1968034.json,3,Deux Colonnes
F1968035.json,2,Ligne Horizontale (3+ layouts)
F1968035.json,7,Ligne Horizontale (3+ layouts)
F1968040.json,16,Ligne Horizontale (3+ layouts)
F1968040.json,17,Deux Colonnes
F1968040.json,18,Ligne Horizontale (3+ layouts)
F1968043.json,6,Deux Colonnes
F1968045.json,6,Ligne Horizontale (3+ layouts)
F1968046.json,28,Deux Colonnes
F1968051.json,8,Deux Colonnes
F1968056.json,4,Ligne Horizontale (3+ layouts)
F1968057.json,5,Deux Colonnes
F1968063.json,6,Deux Colonnes
F1968066.json,9,Ligne Horizontale (3+ layouts)
F1968068.json,6,Ligne Horizontale (3+ layouts)
F1968070.json,4,Deux Colonnes
F1968071.json,2,Deux Colonnes
